"model","dataset","prompt","setting","example_selection","n","length_n","length_pct","stop_n","other_done_n","avg_wall_time_s","avg_prompt_tokens","avg_generated_tokens","max_generated_tokens","avg_eval_tokens_per_s","avg_output_words","max_output_words","outputs_gt_500_words","outputs_gt_900_words","outputs_gt_1600_words","file"
"Mixtral 8x7B","tsar2025","minimal","one","-","100","0","0","100","0","33,14","615,79","99,79","250","3,43","76,47","184","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_minimal_one.csv"
"Mixtral 8x7B","tsar2025","minimal","few","random","100","0","0","100","0","35,59","961,79","104,67","219","3,35","79,98","166","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_minimal_few_random.csv"
"Mixtral 8x7B","tsar2025","minimal","few","metric","100","0","0","100","0","33,99","1061,79","97,89","174","3,32","75,18","126","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_minimal_few_metric.csv"
"Mixtral 8x7B","tsar2025","iso","zero","-","100","0","0","100","0","31,74","1011,79","91,11","250","3,33","64,76","170","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_zero.csv"
"Mixtral 8x7B","tsar2025","iso","one","-","100","0","0","100","0","32,69","1362,79","91,22","173","3,25","68,6","124","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_one.csv"
"Mixtral 8x7B","tsar2025","iso","few","random","100","0","0","100","0","34,57","1707,79","94,57","172","3,19","71,96","137","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_few_random.csv"
"Mixtral 8x7B","tsar2025","iso","few","metric","100","0","0","100","0","33,81","1808,79","90,96","193","3,15","68,72","131","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_few_metric.csv"
"Mixtral 8x7B","tsar2025","iso_examples","zero","-","100","0","0","100","0","39,99","3834,79","93,61","154","2,76","69,15","120","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_examples_zero.csv"
"Mixtral 8x7B","tsar2025","iso_examples","one","-","100","0","0","100","0","40,73","4187,79","92,93","165","2,71","69,99","132","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_examples_one.csv"
"Mixtral 8x7B","tsar2025","iso_examples","few","random","100","0","0","100","0","42,49","4530,79","95,75","168","2,67","72,52","127","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_examples_few_random.csv"
"Mixtral 8x7B","tsar2025","iso_examples","few","metric","100","0","0","100","0","41,59","4630,79","91,78","154","2,64","69,18","119","0","0","0","outputs/mixtral_512/predictions_mixtral_latest_tsar2025_iso_examples_few_metric.csv"
